algorithm,type,speed,speed_iterations,memory,memory_iterations,audio_length,sample_rate,factor
HPS,TSM,0.38163220944115894,50,49619461.6,5,5.466083333333334,48000,0.75
HPS,TSM,0.39268695703940465,50,49619476.0,5,5.466083333333334,48000,0.85
HPS,TSM,0.5198602616786957,50,49619167.2,5,5.466083333333334,48000,1.35
HPS,TSM,0.48396209241822363,50,49619056.6,5,5.466083333333334,48000,1.25
HPS,TSM,0.5384144642809406,50,49619086.2,5,5.466083333333334,48000,1.5
HPS,TSM,0.6502274173009209,50,54977845.4,5,5.466083333333334,48000,2
PV,TSM,0.16369993220083415,50,19274939.8,5,5.466083333333334,48000,0.75
PV,TSM,0.1848028005193919,50,21786852.0,5,5.466083333333334,48000,0.85
PV,TSM,0.30943385205930096,50,34389295.8,5,5.466083333333334,48000,1.35
PV,TSM,0.2870467787794769,50,31877659.0,5,5.466083333333334,48000,1.25
PV,TSM,0.3457454228401184,50,38178641.4,5,5.466083333333334,48000,1.5
PV,TSM,0.46257389515871183,50,50779373.4,5,5.466083333333334,48000,2
TSMNET,TSM,0.06308363140095025,50,61908389.6,5,5.466083333333334,48000,0.75
TSMNET,TSM,0.0657980396808125,50,68473486.8,5,5.466083333333334,48000,0.85
TSMNET,TSM,0.09645840417826548,50,100060707.0,5,5.466083333333334,48000,1.35
TSMNET,TSM,0.08738897108007222,50,94056937.2,5,5.466083333333334,48000,1.25
TSMNET,TSM,0.10651220996165649,50,109879830.8,5,5.466083333333334,48000,1.5
TSMNET,TSM,0.13324768679914997,50,141972641.8,5,5.466083333333334,48000,2
NM,TSM,2.335576969140675,50,113764158.4,5,5.466083333333334,48000,0.75
NM,TSM,2.356495912899263,50,113764049.4,5,5.466083333333334,48000,0.85
NM,TSM,2.463726548040286,50,113764049.2,5,5.466083333333334,48000,1.35
NM,TSM,2.457266505039297,50,113764068.6,5,5.466083333333334,48000,1.25
NM,TSM,2.4998969203606247,50,113764142.4,5,5.466083333333334,48000,1.5
NM,TSM,2.6146072135982106,50,113763822.8,5,5.466083333333334,48000,2
RES,TSM,0.0017254874389618635,50,791228.4,5,5.466083333333334,48000,0.75
RES,TSM,0.002383865900337696,50,1787818.8,5,5.466083333333334,48000,0.85
RES,TSM,0.0028738588793203236,50,2837016.2,5,5.466083333333334,48000,1.35
RES,TSM,0.002675940461922437,50,1315982.4,5,5.466083333333334,48000,1.25
RES,TSM,0.0020914412406273187,50,1578506.8,5,5.466083333333334,48000,1.5
RES,TSM,0.0014306415803730487,50,2103316.6,5,5.466083333333334,48000,2
PSOLA,PS,1.964171240159776,50,57657403.2,5,5.466083333333334,48000,-7
PSOLA,PS,1.896988217139151,50,57656788.4,5,5.466083333333334,48000,-1
PSOLA,PS,1.9009635387407615,50,57656614.0,5,5.466083333333334,48000,1
PSOLA,PS,1.9090464563784189,50,57657080.6,5,5.466083333333334,48000,3
PSOLA,PS,1.92036746627884,50,57657005.6,5,5.466083333333334,48000,7
PSOLA,PS,1.9352466181805357,50,57657089.8,5,5.466083333333334,48000,12
PVPS,PS,1.8463155476585962,50,7615180.2,5,5.466083333333334,48000,-7
PVPS,PS,2.6965032722987234,50,7598679.0,5,5.466083333333334,48000,-1
PVPS,PS,2.9645749983401037,50,7601949.4,5,5.466083333333334,48000,1
PVPS,PS,3.322963605399709,50,7590887.0,5,5.466083333333334,48000,3
PVPS,PS,4.128681060879026,50,7599435.0,5,5.466083333333334,48000,7
PVPS,PS,5.3836257470794955,50,7595691.8,5,5.466083333333334,48000,12
NMPS,PS,2.2642987177404574,50,113763964.4,5,5.466083333333334,48000,-7
NMPS,PS,2.2826714025600814,50,113763630.8,5,5.466083333333334,48000,-1
NMPS,PS,2.29080679675797,50,113763710.8,5,5.466083333333334,48000,1
NMPS,PS,2.298420823419001,50,113763619.2,5,5.466083333333334,48000,3
NMPS,PS,2.3244248714018614,50,113763604.4,5,5.466083333333334,48000,7
NMPS,PS,2.351281919598114,50,113763805.4,5,5.466083333333334,48000,12
LibrosaPS,PS,0.04175880309892818,50,11336397.6,5,5.466083333333334,48000,-7
LibrosaPS,PS,0.055400302601046864,50,13722273.8,5,5.466083333333334,48000,-1
LibrosaPS,PS,0.061151386538986115,50,14793136.4,5,5.466083333333334,48000,1
LibrosaPS,PS,0.06746968011837452,50,16140374.8,5,5.466083333333334,48000,3
LibrosaPS,PS,0.08271403267979621,50,19187344.8,5,5.466083333333334,48000,7
LibrosaPS,PS,0.10464056738186628,50,23698466.6,5,5.466083333333334,48000,12
HPS,TSM,0.3410088818985969,50,49617991.6,5,5.464520833333333,48000,0.75
HPS,TSM,0.36005628342041746,50,49618128.4,5,5.464520833333333,48000,0.85
HPS,TSM,0.4601228466583416,50,49618096.6,5,5.464520833333333,48000,1.35
HPS,TSM,0.44021749920211733,50,49618000.8,5,5.464520833333333,48000,1.25
HPS,TSM,0.4869964714394882,50,49618105.8,5,5.464520833333333,48000,1.5
HPS,TSM,0.5893752762814983,50,54975823.8,5,5.464520833333333,48000,2
PV,TSM,0.15164419942069798,50,19274525.0,5,5.464520833333333,48000,0.75
PV,TSM,0.17167496139882132,50,21786020.8,5,5.464520833333333,48000,0.85
PV,TSM,0.274213471559342,50,34387897.0,5,5.464520833333333,48000,1.35
PV,TSM,0.253804105122108,50,31876337.8,5,5.464520833333333,48000,1.25
PV,TSM,0.30622837458038704,50,38176996.8,5,5.464520833333333,48000,1.5
PV,TSM,0.41160643559880555,50,50777637.6,5,5.464520833333333,48000,2
TSMNET,TSM,0.05516607415862382,50,61906608.0,5,5.464520833333333,48000,0.75
TSMNET,TSM,0.0655331522016786,50,68472337.4,5,5.464520833333333,48000,0.85
TSMNET,TSM,0.09036883953958749,50,100060889.6,5,5.464520833333333,48000,1.35
TSMNET,TSM,0.0860322728403844,50,94056951.0,5,5.464520833333333,48000,1.25
